NACA4 - A PROGRAM TO COMPUTE NACA 4-DIGIT AND 4-DIGIT MODIFIED SECTIONS
   INCLUDES 5-DIGIT AND 16-SERIES AIRFOILS

SUMMARY OF INPUT DATA AND DEFAULTS

 &INPUT4 NAME=NACA 0010-64                                                ,
 PROFILE=4-DIGITMOD,CAMBER=NONE      ,TOC=0.100000,RLE=0.110000E-01,
 DX=0.100000E-01,CHD=1.00000,XM=0.400000,D1=0.315000,CMB=0.000000,
 CM=0.500000,K2OK1=0.000000,CLI=0.000000,0.000000,0.000000,0.000000,
 0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,A=1.00000,1.00000,
 1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,
 CMBNMR=1.00000 &END
-----------------------------------------------------



THICKNESS PARAMETERS FOR 4-DIGIT MODIFIED AIRFOIL
   t/c         =  0.100000
   l.e. radius =  0.011000
   t.e. slope  =  0.315000
-----------------------------------------------------



CAMBER DEFINITION
Uncambered airfoil
-----------------------------------------------------



DERIVED COEFFICIENTS FOR THE AIRFOIL
        0           1          2          3
    a  0.296648 -0.246120  0.174088 -0.265983
    d  0.002000  0.315000 -0.233333 -0.032407
Leading Edge Radius of Curvature=    1.714
-----------------------------------------------------



 DIMENSIONS OF UNCAMBERED AIRFOIL, CHORD LENGTH=1


   X/C      Y/C     dY/dX        d2Y/dX2
 0.00000  0.00000  0.1000E+07   1.000E+06
 0.00025  0.00231   4.567      -9.381E+03
 0.00050  0.00326   3.194      -3.316E+03
 0.00075  0.00397   2.585      -1.805E+03
 0.00100  0.00457   2.222      -1.172E+03
 0.00125  0.00509   1.975      -8.389E+02
 0.00150  0.00556   1.792      -6.381E+02
 0.00175  0.00599   1.650      -5.063E+02
 0.00200  0.00639   1.536      -4.144E+02
 0.00225  0.00676   1.441      -3.473E+02
 0.00250  0.00711   1.361      -2.965E+02
 0.00275  0.00744   1.292      -2.570E+02
 0.00300  0.00776   1.231      -2.255E+02
 0.00325  0.00806   1.178      -2.000E+02
 0.00350  0.00835   1.131      -1.789E+02
 0.00375  0.00862   1.089      -1.613E+02
 0.00400  0.00889   1.050      -1.464E+02
 0.00425  0.00915   1.015      -1.337E+02
 0.00450  0.00940  0.9833      -1.227E+02
