NACA4 - A PROGRAM TO COMPUTE NACA 4-DIGIT AND 4-DIGIT MODIFIED SECTIONS
   INCLUDES 5-DIGIT AND 16-SERIES AIRFOILS

SUMMARY OF INPUT DATA AND DEFAULTS

 &INPUT4 NAME=NACA 16-009 (same as 0009-45)                               ,
 PROFILE=4-DIGITMOD,CAMBER=NONE      ,TOC=0.900000E-01,RLE=0.396000E-02,
 DX=0.100000E-01,CHD=1.00000,XM=0.500000,D1=0.465000,CMB=0.000000,
 CM=0.500000,K2OK1=0.000000,CLI=0.000000,0.000000,0.000000,0.000000,
 0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,A=1.00000,1.00000,
 1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,
 CMBNMR=1.00000 &END
-----------------------------------------------------



THICKNESS PARAMETERS FOR 4-DIGIT MODIFIED AIRFOIL
   t/c         =  0.090000
   l.e. radius =  0.003960
   t.e. slope  =  0.465000
-----------------------------------------------------



CAMBER DEFINITION
Uncambered airfoil
-----------------------------------------------------



DERIVED COEFFICIENTS FOR THE AIRFOIL
        0           1          2          3
    a  0.197765 -0.047404 -0.008794 -0.111524
    d  0.002000  0.465000 -0.684000  0.292000
Leading Edge Radius of Curvature=    2.033
-----------------------------------------------------



 DIMENSIONS OF UNCAMBERED AIRFOIL, CHORD LENGTH=1


   X/C      Y/C     dY/dX        d2Y/dX2
 0.00000  0.00000  0.1000E+07   1.000E+06
 0.00025  0.00140   2.793      -5.629E+03
 0.00050  0.00198   1.969      -1.990E+03
 0.00075  0.00242   1.603      -1.083E+03
 0.00100  0.00279   1.386      -7.036E+02
 0.00125  0.00312   1.237      -5.034E+02
 0.00150  0.00341   1.128      -3.830E+02
 0.00175  0.00369   1.042      -3.039E+02
 0.00200  0.00394  0.9736      -2.488E+02
 0.00225  0.00417  0.9167      -2.085E+02
 0.00250  0.00440  0.8686      -1.780E+02
 0.00275  0.00461  0.8272      -1.543E+02
 0.00300  0.00481  0.7910      -1.354E+02
 0.00325  0.00500  0.7592      -1.201E+02
 0.00350  0.00519  0.7308      -1.075E+02
 0.00375  0.00537  0.7053      -9.689E+01
 0.00400  0.00554  0.6822      -8.795E+01
 0.00425  0.00571  0.6612      -8.031E+01
 0.00450  0.00587  0.6420      -7.371E+01
 0.00475  0.00603  0.6243      -6.797E+01
 0.00500  0.00619  0.6079      -6.294E+01
 0.00525  0.00634  0.5927      -5.850E+01
 0.00550  0.00648  0.5786      -5.456E+01
 0.00575  0.00663  0.5654      -5.104E+01
 0.00600  0.00677  0.5531      -4.788E+01
 0.00625  0.00690  0.5415      -4.504E+01
 0.00650  0.00704  0.5305      -4.247E+01
 0.00675  0.00717  0.5202      -4.013E+01
 0.00700  0.00730  0.5104      -3.800E+01
 0.00725  0.00742  0.5012      -3.605E+01
 0.00750  0.00755  0.4924      -3.426E+01
 0.00775  0.00767  0.4841      -3.262E+01
 0.00800  0.00779  0.4761      -3.110E+01
 0.00825  0.00791  0.4685      -2.970E+01
 0.00850  0.00802  0.4612      -2.840E+01
 0.00875  0.00814  0.4543      -2.719E+01
 0.00900  0.00825  0.4476      -2.607E+01
 0.00925  0.00836  0.4412      -2.502E+01
 0.00950  0.00847  0.4351      -2.404E+01
 0.00975  0.00858  0.4292      -2.312E+01
 0.01000  0.00869  0.4235      -2.226E+01
 0.01025  0.00879  0.4181      -2.145E+01
 0.01050  0.00889  0.4128      -2.069E+01
 0.01075  0.00900  0.4077      -1.997E+01
 0.01100  0.00910  0.4028      -1.930E+01
 0.01125  0.00920  0.3981      -1.866E+01
 0.01150  0.00930  0.3935      -1.805E+01
 0.01175  0.00940  0.3891      -1.748E+01
 0.01200  0.00949  0.3848      -1.694E+01
 0.01225  0.00959  0.3806      -1.642E+01
 0.01250  0.00968  0.3765      -1.593E+01
 0.01500  0.01058  0.3418      -1.212E+01
 0.01750  0.01140  0.3149      -9.624E+00
 0.02000  0.01216  0.2931      -7.880E+00
 0.02250  0.01287  0.2751      -6.607E+00
 0.02500  0.01353  0.2598      -5.644E+00
 0.02750  0.01417  0.2467      -4.895E+00
 0.03000  0.01477  0.2352      -4.299E+00
 0.03250  0.01534  0.2251      -3.815E+00
 0.03500  0.01590  0.2161      -3.416E+00
 0.03750  0.01643  0.2079      -3.083E+00
 0.04000  0.01694  0.2006      -2.801E+00
 0.04250  0.01743  0.1939      -2.560E+00
 0.04500  0.01791  0.1878      -2.352E+00
 0.04750  0.01837  0.1821      -2.171E+00
 0.05000  0.01882  0.1769      -2.013E+00
 0.05250  0.01925  0.1720      -1.873E+00
 0.05500  0.01968  0.1675      -1.749E+00
 0.05750  0.02009  0.1633      -1.639E+00
 0.06000  0.02049  0.1593      -1.540E+00
 0.06250  0.02089  0.1556      -1.451E+00
 0.06500  0.02127  0.1520      -1.370E+00
 0.06750  0.02165  0.1487      -1.297E+00
 0.07000  0.02202  0.1456      -1.230E+00
 0.07250  0.02238  0.1426      -1.169E+00
 0.07500  0.02273  0.1397      -1.114E+00
 0.07750  0.02307  0.1370      -1.062E+00
 0.08000  0.02341  0.1344      -1.015E+00
 0.08250  0.02375  0.1319      -9.717E-01
 0.08500  0.02407  0.1295      -9.313E-01
 0.08750  0.02439  0.1273      -8.939E-01
 0.09000  0.02471  0.1251      -8.590E-01
 0.09250  0.02502  0.1230      -8.266E-01
 0.09500  0.02532  0.1209      -7.964E-01
 0.09750  0.02562  0.1190      -7.681E-01
 0.10000  0.02592  0.1171      -7.416E-01
 0.11000  0.02705  0.1101      -6.509E-01
 0.12000  0.02813  0.1040      -5.793E-01
 0.13000  0.02914  0.9851E-01  -5.217E-01
 0.14000  0.03010  0.9353E-01  -4.748E-01
 0.15000  0.03101  0.8898E-01  -4.361E-01
 0.16000  0.03188  0.8479E-01  -4.037E-01
 0.17000  0.03271  0.8089E-01  -3.765E-01
 0.18000  0.03350  0.7725E-01  -3.535E-01
 0.19000  0.03425  0.7381E-01  -3.338E-01
 0.20000  0.03497  0.7056E-01  -3.169E-01
 0.21000  0.03566  0.6747E-01  -3.023E-01
 0.22000  0.03632  0.6451E-01  -2.898E-01
 0.23000  0.03695  0.6167E-01  -2.789E-01
 0.24000  0.03756  0.5893E-01  -2.694E-01
 0.25000  0.03813  0.5627E-01  -2.612E-01
 0.26000  0.03868  0.5370E-01  -2.540E-01
 0.27000  0.03921  0.5119E-01  -2.478E-01
 0.28000  0.03971  0.4874E-01  -2.424E-01
 0.29000  0.04018  0.4634E-01  -2.377E-01
 0.30000  0.04063  0.4398E-01  -2.336E-01
 0.31000  0.04106  0.4167E-01  -2.302E-01
 0.32000  0.04147  0.3938E-01  -2.272E-01
 0.33000  0.04185  0.3712E-01  -2.246E-01
 0.34000  0.04221  0.3488E-01  -2.225E-01
 0.35000  0.04255  0.3267E-01  -2.208E-01
 0.36000  0.04286  0.3047E-01  -2.193E-01
 0.37000  0.04316  0.2828E-01  -2.182E-01
 0.38000  0.04343  0.2610E-01  -2.173E-01
 0.39000  0.04368  0.2393E-01  -2.167E-01
 0.40000  0.04391  0.2177E-01  -2.163E-01
 0.41000  0.04411  0.1961E-01  -2.161E-01
 0.42000  0.04430  0.1745E-01  -2.161E-01
 0.43000  0.04446  0.1528E-01  -2.163E-01
 0.44000  0.04460  0.1312E-01  -2.166E-01
 0.45000  0.04473  0.1095E-01  -2.171E-01
 0.46000  0.04482  0.8777E-02  -2.177E-01
 0.47000  0.04490  0.6596E-02  -2.185E-01
 0.48000  0.04496  0.4407E-02  -2.194E-01
 0.49000  0.04499  0.2209E-02  -2.203E-01
 0.50000  0.04500  0.4283E-07  -2.214E-01
 0.51000  0.04499 -0.2253E-02  -2.293E-01
 0.52000  0.04495 -0.4586E-02  -2.372E-01
 0.53000  0.04490 -0.6997E-02  -2.451E-01
 0.54000  0.04481 -0.9487E-02  -2.529E-01
 0.55000  0.04471 -0.1206E-01  -2.608E-01
 0.56000  0.04457 -0.1470E-01  -2.687E-01
 0.57000  0.04441 -0.1743E-01  -2.766E-01
 0.58000  0.04422 -0.2023E-01  -2.845E-01
 0.59000  0.04401 -0.2312E-01  -2.924E-01
 0.60000  0.04376 -0.2608E-01  -3.002E-01
 0.61000  0.04349 -0.2912E-01  -3.081E-01
 0.62000  0.04318 -0.3224E-01  -3.160E-01
 0.63000  0.04284 -0.3544E-01  -3.239E-01
 0.64000  0.04247 -0.3872E-01  -3.318E-01
 0.65000  0.04207 -0.4208E-01  -3.397E-01
 0.66000  0.04163 -0.4552E-01  -3.475E-01
 0.67000  0.04116 -0.4903E-01  -3.554E-01
 0.68000  0.04065 -0.5262E-01  -3.633E-01
 0.69000  0.04010 -0.5630E-01  -3.712E-01
 0.70000  0.03952 -0.6005E-01  -3.791E-01
 0.71000  0.03890 -0.6388E-01  -3.870E-01
 0.72000  0.03824 -0.6779E-01  -3.948E-01
 0.73000  0.03755 -0.7178E-01  -4.027E-01
 0.74000  0.03681 -0.7584E-01  -4.106E-01
 0.75000  0.03603 -0.7999E-01  -4.185E-01
 0.76000  0.03521 -0.8421E-01  -4.264E-01
 0.77000  0.03434 -0.8851E-01  -4.343E-01
 0.78000  0.03344 -0.9290E-01  -4.422E-01
 0.79000  0.03249 -0.9736E-01  -4.500E-01
 0.80000  0.03149 -0.1019      -4.579E-01
 0.81000  0.03045 -0.1065      -4.658E-01
 0.82000  0.02936 -0.1112      -4.737E-01
 0.83000  0.02822 -0.1160      -4.816E-01
 0.84000  0.02704 -0.1208      -4.895E-01
 0.85000  0.02581 -0.1258      -4.973E-01
 0.86000  0.02452 -0.1308      -5.052E-01
 0.87000  0.02319 -0.1359      -5.131E-01
 0.88000  0.02180 -0.1411      -5.210E-01
 0.89000  0.02037 -0.1463      -5.289E-01
 0.90000  0.01888 -0.1516      -5.368E-01
 0.91000  0.01734 -0.1570      -5.446E-01
 0.92000  0.01574 -0.1625      -5.525E-01
 0.93000  0.01408 -0.1681      -5.604E-01
 0.94000  0.01238 -0.1737      -5.683E-01
 0.95000  0.01061 -0.1795      -5.762E-01
 0.96000  0.00879 -0.1853      -5.841E-01
 0.97000  0.00690 -0.1911      -5.919E-01
 0.98000  0.00496 -0.1971      -5.998E-01
 0.99000  0.00296 -0.2031      -6.077E-01
 1.00000  0.00090 -0.2092      -6.156E-01

          NACA 16-009 (same as 0009-45)                               
-----------------------------------------------------



