NACA4 - A PROGRAM TO COMPUTE NACA 4-DIGIT AND 4-DIGIT MODIFIED SECTIONS
   INCLUDES 5-DIGIT AND 16-SERIES AIRFOILS

SUMMARY OF INPUT DATA AND DEFAULTS

 &INPUT4 NAME=NACA 23012                                                  ,
 PROFILE=4-DIGIT   ,CAMBER=3-DIGIT   ,TOC=0.120000,RLE=0.200000E-01,
 DX=0.100000E-01,CHD=1.00000,XM=0.500000,D1=1.00000,CMB=15.9570,
 CM=0.202500,K2OK1=0.000000,CLI=15.9570,0.000000,0.000000,0.000000,
 0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,A=1.00000,1.00000,
 1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,
 CMBNMR=1.00000 &END
-----------------------------------------------------



THICKNESS PARAMETERS FOR 4-DIGIT AIRFOIL
   t/c =  0.120
-----------------------------------------------------



CAMBER DEFINITION
3-DIGIT CAMBER LINE PARAMETERS
   k1 parameter          =  15.9570
   x/c of zero curvature =   0.2025
-----------------------------------------------------



 DIMENSIONS OF CAMBERED AIRFOIL, CHORD LENGTH=1
 UNCAMBERED ---- UPPER SURFACE VALUES ---    --- LOWER SURFACE VALUES ----
   X/C        XU/C       YU/C     dYU/dXU      XL/C       YL/C     dYL/dXL
 0.00000    0.00000    0.00000    -3.2778    0.00000    0.00000    -3.2778
 0.00025   -0.00056    0.00275    -9.2204    0.00106   -0.00260    -1.9215
 0.00050   -0.00065    0.00393   -32.7411    0.00165   -0.00362    -1.6195
 0.00075   -0.00065    0.00484    35.8244    0.00215   -0.00439    -1.4380
 0.00100   -0.00061    0.00562    13.0999    0.00261   -0.00502    -1.3098
 0.00125   -0.00054    0.00632     8.4479    0.00304   -0.00556    -1.2115
 0.00150   -0.00045    0.00695     6.4148    0.00345   -0.00604    -1.1326
 0.00175   -0.00035    0.00754     5.2631    0.00385   -0.00648    -1.0670
 0.00200   -0.00024    0.00809     4.5162    0.00424   -0.00688    -1.0111
 0.00225   -0.00011    0.00861     3.9894    0.00461   -0.00726    -0.9627
 0.00250    0.00002    0.00911     3.5961    0.00498   -0.00760    -0.9202
 0.00275    0.00016    0.00958     3.2900    0.00534   -0.00793    -0.8824
 0.00300    0.00030    0.01004     3.0442    0.00570   -0.00824    -0.8485
 0.00325    0.00045    0.01048     2.8419    0.00605   -0.00853    -0.8178
 0.00350    0.00060    0.01090     2.6721    0.00640   -0.00881    -0.7898
 0.00375    0.00076    0.01132     2.5273    0.00674   -0.00907    -0.7641
 0.00400    0.00092    0.01172     2.4021    0.00708   -0.00933    -0.7405
 0.00425    0.00109    0.01210     2.2926    0.00741   -0.00957    -0.7186
 0.00450    0.00126    0.01248     2.1958    0.00774   -0.00980    -0.6983
 0.00475    0.00143    0.01286     2.1096    0.00807   -0.01003    -0.6793
 0.00500    0.00161    0.01322     2.0322    0.00839   -0.01025    -0.6616
 0.00525    0.00179    0.01357     1.9623    0.00871   -0.01046    -0.6449
 0.00550    0.00197    0.01392     1.8988    0.00903   -0.01066    -0.6292
 0.00575    0.00215    0.01426     1.8407    0.00935   -0.01086    -0.6145
 0.00600    0.00233    0.01460     1.7874    0.00967   -0.01105    -0.6005
 0.00625    0.00252    0.01493     1.7382    0.00998   -0.01124    -0.5872
 0.00650    0.00271    0.01525     1.6927    0.01029   -0.01142    -0.5747
 0.00675    0.00290    0.01557     1.6504    0.01060   -0.01159    -0.5627
 0.00700    0.00309    0.01588     1.6110    0.01091   -0.01177    -0.5513
 0.00725    0.00328    0.01619     1.5742    0.01122   -0.01193    -0.5405
 0.00750    0.00348    0.01649     1.5397    0.01152   -0.01210    -0.5301
 0.00775    0.00368    0.01679     1.5072    0.01182   -0.01225    -0.5202
 0.00800    0.00387    0.01709     1.4767    0.01213   -0.01241    -0.5107
 0.00825    0.00407    0.01738     1.4478    0.01243   -0.01256    -0.5016
 0.00850    0.00427    0.01767     1.4205    0.01273   -0.01271    -0.4928
 0.00875    0.00448    0.01795     1.3946    0.01302   -0.01286    -0.4844
 0.00900    0.00468    0.01823     1.3701    0.01332   -0.01300    -0.4763
 0.00925    0.00488    0.01851     1.3467    0.01362   -0.01314    -0.4685
 0.00950    0.00509    0.01879     1.3244    0.01391   -0.01328    -0.4610
 0.00975    0.00530    0.01906     1.3032    0.01420   -0.01341    -0.4538
 0.01000    0.00550    0.01933     1.2829    0.01450   -0.01354    -0.4468
 0.01025    0.00571    0.01959     1.2634    0.01479   -0.01367    -0.4401
 0.01050    0.00592    0.01985     1.2448    0.01508   -0.01380    -0.4336
 0.01075    0.00613    0.02011     1.2270    0.01537   -0.01392    -0.4273
 0.01100    0.00635    0.02037     1.2098    0.01565   -0.01404    -0.4212
 0.01125    0.00656    0.02063     1.1933    0.01594   -0.01416    -0.4153
 0.01150    0.00677    0.02088     1.1775    0.01623   -0.01428    -0.4096
 0.01175    0.00699    0.02113     1.1622    0.01651   -0.01440    -0.4040
 0.01200    0.00720    0.02138     1.1475    0.01680   -0.01451    -0.3986
 0.01225    0.00742    0.02163     1.1332    0.01708   -0.01463    -0.3934
 0.01250    0.00763    0.02187     1.1195    0.01737   -0.01474    -0.3883
 0.01500    0.00984    0.02420     1.0036    0.02016   -0.01576    -0.3446
 0.01750    0.01210    0.02637     0.9156    0.02290   -0.01665    -0.3106
 0.02000    0.01441    0.02840     0.8455    0.02559   -0.01745    -0.2834
 0.02250    0.01677    0.03032     0.7876    0.02823   -0.01817    -0.2611
 0.02500    0.01916    0.03214     0.7386    0.03084   -0.01883    -0.2426
 0.02750    0.02158    0.03388     0.6962    0.03342   -0.01943    -0.2270
 0.03000    0.02402    0.03554     0.6590    0.03598   -0.01999    -0.2137
 0.03250    0.02649    0.03712     0.6258    0.03851   -0.02052    -0.2023
 0.03500    0.02898    0.03864     0.5958    0.04102   -0.02102    -0.1924
 0.03750    0.03149    0.04010     0.5686    0.04351   -0.02148    -0.1839
 0.04000    0.03402    0.04151     0.5436    0.04598   -0.02193    -0.1764
 0.04250    0.03656    0.04286     0.5205    0.04844   -0.02235    -0.1698
 0.04500    0.03912    0.04416     0.4990    0.05088   -0.02276    -0.1640
 0.04750    0.04169    0.04542     0.4790    0.05331   -0.02315    -0.1589
 0.05000    0.04427    0.04663     0.4602    0.05573   -0.02353    -0.1543
 0.05250    0.04686    0.04780     0.4425    0.05814   -0.02390    -0.1503
 0.05500    0.04946    0.04893     0.4257    0.06054   -0.02426    -0.1467
 0.05750    0.05207    0.05002     0.4099    0.06293   -0.02460    -0.1435
 0.06000    0.05468    0.05107     0.3947    0.06532   -0.02494    -0.1406
 0.06250    0.05731    0.05209     0.3804    0.06769   -0.02527    -0.1381
 0.06500    0.05994    0.05307     0.3666    0.07006   -0.02560    -0.1358
 0.06750    0.06257    0.05402     0.3534    0.07243   -0.02592    -0.1337
 0.07000    0.06521    0.05493     0.3408    0.07479   -0.02623    -0.1319
 0.07250    0.06786    0.05582     0.3287    0.07714   -0.02654    -0.1302
 0.07500    0.07051    0.05667     0.3170    0.07949   -0.02684    -0.1287
 0.07750    0.07316    0.05750     0.3058    0.08184   -0.02714    -0.1273
 0.08000    0.07581    0.05830     0.2950    0.08419   -0.02744    -0.1261
 0.08250    0.07847    0.05907     0.2845    0.08653   -0.02773    -0.1250
 0.08500    0.08113    0.05981     0.2744    0.08887   -0.02803    -0.1239
 0.08750    0.08379    0.06053     0.2647    0.09121   -0.02831    -0.1230
 0.09000    0.08646    0.06122     0.2552    0.09354   -0.02860    -0.1221
 0.09250    0.08912    0.06189     0.2461    0.09588   -0.02888    -0.1213
 0.09500    0.09179    0.06253     0.2373    0.09821   -0.02917    -0.1206
 0.09750    0.09445    0.06315     0.2287    0.10055   -0.02945    -0.1199
 0.10000    0.09711    0.06375     0.2204    0.10289   -0.02973    -0.1192
 0.11000    0.10777    0.06593     0.1895    0.11223   -0.03083    -0.1169
 0.12000    0.11839    0.06780     0.1622    0.12161   -0.03192    -0.1147
 0.13000    0.12898    0.06938     0.1379    0.13102   -0.03298    -0.1124
 0.14000    0.13952    0.07072     0.1163    0.14048   -0.03403    -0.1098
 0.15000    0.15000    0.07184     0.0973    0.14999   -0.03507    -0.1066
 0.16000    0.16042    0.07276     0.0807    0.15958   -0.03607    -0.1029
 0.17000    0.17075    0.07352     0.0663    0.16925   -0.03704    -0.0985
 0.18000    0.18101    0.07414     0.0540    0.17899   -0.03798    -0.0932
 0.19000    0.19118    0.07463     0.0437    0.18882   -0.03887    -0.0871
 0.20000    0.20126    0.07503     0.0355    0.19874   -0.03969    -0.0800
 0.21000    0.21128    0.07535     0.0283    0.20872   -0.04046    -0.0726
 0.22000    0.22129    0.07560     0.0215    0.21871   -0.04115    -0.0658
 0.23000    0.23130    0.07578     0.0151    0.22870   -0.04177    -0.0593
 0.24000    0.24131    0.07590     0.0090    0.23869   -0.04233    -0.0532
 0.25000    0.25131    0.07596     0.0031    0.24869   -0.04284    -0.0473
 0.26000    0.26132    0.07596    -0.0024    0.25868   -0.04328    -0.0418
 0.27000    0.27132    0.07591    -0.0077    0.26868   -0.04367    -0.0365
 0.28000    0.28132    0.07581    -0.0127    0.27868   -0.04401    -0.0314
 0.29000    0.29132    0.07566    -0.0175    0.28868   -0.04430    -0.0266
 0.30000    0.30133    0.07546    -0.0222    0.29867   -0.04454    -0.0220
 0.31000    0.31132    0.07522    -0.0266    0.30868   -0.04474    -0.0176
 0.32000    0.32132    0.07493    -0.0308    0.31868   -0.04490    -0.0133
 0.33000    0.33132    0.07460    -0.0349    0.32868   -0.04501    -0.0093
 0.34000    0.34132    0.07423    -0.0388    0.33868   -0.04508    -0.0054
 0.35000    0.35131    0.07383    -0.0426    0.34869   -0.04512    -0.0016
 0.36000    0.36131    0.07338    -0.0462    0.35869   -0.04512     0.0020
 0.37000    0.37130    0.07290    -0.0497    0.36870   -0.04508     0.0055
 0.38000    0.38130    0.07239    -0.0530    0.37870   -0.04501     0.0088
 0.39000    0.39129    0.07184    -0.0563    0.38871   -0.04490     0.0120
 0.40000    0.40128    0.07127    -0.0594    0.39872   -0.04477     0.0151
 0.41000    0.41127    0.07066    -0.0624    0.40873   -0.04460     0.0181
 0.42000    0.42126    0.07002    -0.0653    0.41874   -0.04440     0.0210
 0.43000    0.43125    0.06935    -0.0681    0.42875   -0.04418     0.0238
 0.44000    0.44124    0.06866    -0.0708    0.43876   -0.04393     0.0265
 0.45000    0.45123    0.06794    -0.0734    0.44877   -0.04365     0.0291
 0.46000    0.46122    0.06719    -0.0759    0.45878   -0.04334     0.0316
 0.47000    0.47121    0.06642    -0.0784    0.46879   -0.04301     0.0341
 0.48000    0.48120    0.06563    -0.0808    0.47880   -0.04266     0.0365
 0.49000    0.49118    0.06481    -0.0831    0.48882   -0.04228     0.0387
 0.50000    0.50117    0.06397    -0.0853    0.49883   -0.04189     0.0410
 0.51000    0.51115    0.06311    -0.0875    0.50885   -0.04146     0.0431
 0.52000    0.52114    0.06222    -0.0896    0.51886   -0.04102     0.0452
 0.53000    0.53112    0.06132    -0.0916    0.52887   -0.04056     0.0472
 0.54000    0.54111    0.06039    -0.0936    0.53889   -0.04008     0.0492
 0.55000    0.55109    0.05945    -0.0955    0.54891   -0.03957     0.0511
 0.56000    0.56108    0.05849    -0.0974    0.55892   -0.03905     0.0530
 0.57000    0.57106    0.05751    -0.0992    0.56894   -0.03851     0.0548
 0.58000    0.58104    0.05651    -0.1010    0.57896   -0.03796     0.0565
 0.59000    0.59103    0.05549    -0.1027    0.58897   -0.03738     0.0583
 0.60000    0.60101    0.05446    -0.1044    0.59899   -0.03679     0.0599
 0.61000    0.61099    0.05341    -0.1061    0.60901   -0.03618     0.0616
 0.62000    0.62097    0.05234    -0.1077    0.61903   -0.03556     0.0632
 0.63000    0.63095    0.05126    -0.1093    0.62905   -0.03491     0.0648
 0.64000    0.64093    0.05016    -0.1108    0.63907   -0.03426     0.0663
 0.65000    0.65091    0.04904    -0.1123    0.64909   -0.03359     0.0678
 0.66000    0.66089    0.04792    -0.1138    0.65911   -0.03290     0.0693
 0.67000    0.67087    0.04677    -0.1153    0.66913   -0.03220     0.0708
 0.68000    0.68085    0.04561    -0.1168    0.67915   -0.03148     0.0722
 0.69000    0.69083    0.04444    -0.1182    0.68917   -0.03075     0.0736
 0.70000    0.70081    0.04326    -0.1196    0.69919   -0.03001     0.0750
 0.71000    0.71079    0.04205    -0.1210    0.70921   -0.02925     0.0764
 0.72000    0.72076    0.04084    -0.1224    0.71923   -0.02847     0.0778
 0.73000    0.73074    0.03961    -0.1237    0.72926   -0.02769     0.0791
 0.74000    0.74072    0.03837    -0.1251    0.73928   -0.02689     0.0805
 0.75000    0.75070    0.03712    -0.1265    0.74930   -0.02607     0.0818
 0.76000    0.76067    0.03585    -0.1278    0.75932   -0.02525     0.0831
 0.77000    0.77065    0.03457    -0.1291    0.76935   -0.02441     0.0845
 0.78000    0.78063    0.03327    -0.1305    0.77937   -0.02355     0.0858
 0.79000    0.79060    0.03196    -0.1318    0.78940   -0.02269     0.0871
 0.80000    0.80058    0.03064    -0.1331    0.79942   -0.02181     0.0884
 0.81000    0.81055    0.02931    -0.1345    0.80944   -0.02091     0.0898
 0.82000    0.82053    0.02796    -0.1358    0.81947   -0.02001     0.0911
 0.83000    0.83050    0.02660    -0.1372    0.82950   -0.01909     0.0924
 0.84000    0.84048    0.02522    -0.1385    0.83952   -0.01816     0.0938
 0.85000    0.85045    0.02383    -0.1399    0.84955   -0.01721     0.0951
 0.86000    0.86043    0.02243    -0.1413    0.85957   -0.01625     0.0965
 0.87000    0.87040    0.02101    -0.1427    0.86960   -0.01527     0.0979
 0.88000    0.88037    0.01958    -0.1441    0.87963   -0.01428     0.0993
 0.89000    0.89035    0.01814    -0.1455    0.88965   -0.01328     0.1007
 0.90000    0.90032    0.01668    -0.1470    0.89968   -0.01227     0.1021
 0.91000    0.91029    0.01521    -0.1484    0.90971   -0.01123     0.1036
 0.92000    0.92026    0.01372    -0.1499    0.91974   -0.01019     0.1050
 0.93000    0.93024    0.01222    -0.1514    0.92976   -0.00913     0.1065
 0.94000    0.94021    0.01070    -0.1530    0.93979   -0.00805     0.1081
 0.95000    0.95018    0.00917    -0.1546    0.94982   -0.00696     0.1096
 0.96000    0.96015    0.00762    -0.1562    0.95985   -0.00585     0.1112
 0.97000    0.97012    0.00605    -0.1578    0.96988   -0.00473     0.1128
 0.98000    0.98009    0.00447    -0.1594    0.97991   -0.00359     0.1144
 0.99000    0.99006    0.00287    -0.1611    0.98994   -0.00243     0.1161
 1.00000    1.00003    0.00126    -0.1629    0.99997   -0.00126     0.1178

          NACA 23012                                                  
-----------------------------------------------------



