NACA6 - A PROGRAM TO COMPUTE NACA 6-SERIES AND 6A-SERIES AIRFOIL SECTIONS

SUMMARY OF INPUT DATA AND DEFAULTS

 &INPUT6 A=1.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
 0.000000,0.000000,0.000000,CHD=1.00000,CLI=0.000000,0.000000,0.000000,
 0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
 CMBNMR=1.00000,
 NAME=
 NACA 63-006                                                                     ,
 CAMBER=NONE,PROFILE=63 ,TOC=0.600000E-01 &END
-----------------------------------------------------



CAMBER DEFINITION
Uncambered airfoil
6-SERIES CAMBER LINE PARAMETERS
  #    CLI    A
  1  0.00000  0.00000
-----------------------------------------------------



ITERATION TO ACHIEVE SPECIFIED THICKNESS
 RAT( 1) =    1.00000
 RAT( 2) =    0.50147
 RAT( 3) =    0.98937
 RAT( 4) =    0.99990


 PEAK IS AT X/C =   0.355898
 MAXIMUM Y/C =   0.030000
 SLOPE CHANGES SIGN AT X/C, Y/C =   0.354903  0.030000
 X/C FIT OF ELLIPSE =   0.005747
 Y/C FIT OF ELLIPSE =   0.005382
 SLOPE FIT OF ELLIPSE =   0.440157
 RADIUS AT ORIGIN OF ELLIPSE THRU XT(11)/C, YT(11)/C =   0.002545
 RATIO OF T/C INPUT TO T/C COMPUTED =   0.999999
 CUMULATIVE SCALING OF EPS, PSI =   0.496088
 NUMBER OF ITERATIONS =          4
-----------------------------------------------------



 DIMENSIONS OF UNCAMBERED AIRFOIL, CHORD LENGTH=1


   X/C      Y/C     dY/dX        d2Y/dX2
 0.00000  0.00000   6.495      -1.897E+04
 0.00025  0.00112   2.802      -1.057E+04
 0.00050  0.00161   1.579       7.881E+02
 0.00075  0.00199   1.343      -2.676E+03
 0.00100  0.00227   1.063       4.386E+02
 0.00125  0.00254   1.057      -4.918E+02
 0.00150  0.00279  0.9432      -4.152E+02
 0.00175  0.00302  0.8520      -3.142E+02
 0.00200  0.00322  0.7904      -1.791E+02
 0.00225  0.00341  0.7490      -1.517E+02
 0.00250  0.00360  0.7117      -1.471E+02
 0.00275  0.00377  0.6762      -1.372E+02
 0.00300  0.00394  0.6435      -1.237E+02
 0.00325  0.00409  0.6144      -1.091E+02
 0.00350  0.00424  0.5891      -9.388E+01
 0.00375  0.00439  0.5670      -8.244E+01
 0.00400  0.00453  0.5470      -7.811E+01
 0.00425  0.00466  0.5281      -7.260E+01
 0.00450  0.00479  0.5106      -6.731E+01
 0.00475  0.00492  0.4944      -6.238E+01
 0.00500  0.00504  0.4794      -5.810E+01
 0.00525  0.00516  0.4654      -5.372E+01
 0.00550  0.00527  0.4525      -4.934E+01
 0.00575  0.00538  0.4407      -4.498E+01
 0.00600  0.00549  0.4298      -4.230E+01
 0.00625  0.00560  0.4196      -3.959E+01
 0.00650  0.00570  0.4100      -3.690E+01
 0.00675  0.00580  0.4011      -3.417E+01
 0.00700  0.00590  0.3929      -3.157E+01
 0.00725  0.00600  0.3852      -3.028E+01
 0.00750  0.00609  0.3778      -2.887E+01
 0.00775  0.00619  0.3707      -2.746E+01
 0.00800  0.00628  0.3640      -2.611E+01
 0.00825  0.00637  0.3577      -2.465E+01
 0.00850  0.00646  0.3516      -2.364E+01
 0.00875  0.00655  0.3458      -2.275E+01
 0.00900  0.00663  0.3403      -2.184E+01
 0.00925  0.00672  0.3349      -2.092E+01
 0.00950  0.00680  0.3298      -2.002E+01
 0.00975  0.00688  0.3249      -1.908E+01
 0.01000  0.00696  0.3202      -1.849E+01
 0.01025  0.00704  0.3157      -1.795E+01
