NACA6 - A PROGRAM TO COMPUTE NACA 6-SERIES AND 6A-SERIES AIRFOIL SECTIONS

SUMMARY OF INPUT DATA AND DEFAULTS

 &INPUT6 A=1.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
 0.000000,0.000000,0.000000,CHD=1.00000,CLI=0.000000,0.000000,0.000000,
 0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
 CMBNMR=1.00000,
 NAME=
 NACA 63A010                                                                     ,
 CAMBER=NONE,PROFILE=63A,TOC=0.100000 &END
-----------------------------------------------------



CAMBER DEFINITION
Uncambered airfoil
6-SERIES CAMBER LINE PARAMETERS
  #    CLI    A
  1  0.00000  0.00000
-----------------------------------------------------



ITERATION TO ACHIEVE SPECIFIED THICKNESS
 RAT( 1) =    1.00000
 RAT( 2) =    0.83368
 RAT( 3) =    0.99658


 PEAK IS AT X/C =   0.365562
 MAXIMUM Y/C =   0.049998
 SLOPE CHANGES SIGN AT X/C, Y/C =   0.362215  0.050000
 X/C FIT OF ELLIPSE =   0.005752
 Y/C FIT OF ELLIPSE =   0.008793
 SLOPE FIT OF ELLIPSE =   0.698575
 RADIUS AT ORIGIN OF ELLIPSE THRU XT(11)/C, YT(11)/C =   0.007450
 RATIO OF T/C INPUT TO T/C COMPUTED =   0.999943
 CUMULATIVE SCALING OF EPS, PSI =   0.830825
 NUMBER OF ITERATIONS =          3
-----------------------------------------------------



 DIMENSIONS OF UNCAMBERED AIRFOIL, CHORD LENGTH=1


   X/C      Y/C     dY/dX        d2Y/dX2
 0.00000  0.00000   11.17      -3.372E+04
 0.00025  0.00190   4.638      -1.855E+04
 0.00050  0.00269   2.596       2.220E+03
 0.00075  0.00334   2.244      -5.037E+03
 0.00100  0.00380   1.715       8.021E+02
 0.00125  0.00424   1.719      -7.676E+02
 0.00150  0.00464   1.537      -6.917E+02
 0.00175  0.00501   1.382      -5.444E+02
 0.00200  0.00534   1.275      -3.162E+02
 0.00225  0.00565   1.205      -2.444E+02
 0.00250  0.00594   1.144      -2.426E+02
 0.00275  0.00622   1.085      -2.255E+02
 0.00300  0.00649   1.031      -2.054E+02
 0.00325  0.00674  0.9831      -1.806E+02
 0.00350  0.00698  0.9410      -1.561E+02
 0.00375  0.00721  0.9046      -1.347E+02
 0.00400  0.00743  0.8719      -1.273E+02
 0.00425  0.00764  0.8412      -1.182E+02
 0.00450  0.00785  0.8127      -1.094E+02
 0.00475  0.00805  0.7864      -1.010E+02
 0.00500  0.00824  0.7620      -9.402E+01
 0.00525  0.00843  0.7394      -8.677E+01
 0.00550  0.00861  0.7186      -7.960E+01
 0.00575  0.00879  0.6996      -7.236E+01
 0.00600  0.00896  0.6823      -6.646E+01
 0.00625  0.00913  0.6664      -6.056E+01
 0.00650  0.00930  0.6520      -5.467E+01
 0.00675  0.00946  0.6391      -4.862E+01
 0.00700  0.00962  0.6276      -4.330E+01
 0.00725  0.00977  0.6170      -4.159E+01
 0.00750  0.00993  0.6069      -3.944E+01
 0.00775  0.01008  0.5973      -3.748E+01
 0.00800  0.01022  0.5882      -3.539E+01
 0.00825  0.01037  0.5796      -3.332E+01
 0.00850  0.01051  0.5713      -3.241E+01
 0.00875  0.01066  0.5633      -3.168E+01
 0.00900  0.01080  0.5555      -3.094E+01
 0.00925  0.01093  0.5479      -3.018E+01
 0.00950  0.01107  0.5404      -2.939E+01
 0.00975  0.01120  0.5332      -2.867E+01
 0.01000  0.01134  0.5262      -2.734E+01
 0.01025  0.01147  0.5195      -2.603E+01
 0.01050  0.01160  0.5131      -2.474E+01
 0.01075  0.01172  0.5071      -2.344E+01
 0.01100  0.01185  0.5014      -2.215E+01
 0.01125  0.01197  0.4961      -2.072E+01
 0.01150  0.01210  0.4909      -2.024E+01
 0.01175  0.01222  0.4859      -2.018E+01
 0.01200  0.01234  0.4808      -2.018E+01
 0.01225  0.01246  0.4759      -1.979E+01
 0.01250  0.01258  0.4708      -2.065E+01
 0.01500  0.01370  0.4280      -1.358E+01
 0.01750  0.01473  0.3963      -1.181E+01
 0.02000  0.01568  0.3696      -9.534E+00
 0.02250  0.01658  0.3482      -7.599E+00
 0.02500  0.01743  0.3297      -7.215E+00
 0.02750  0.01823  0.3136      -5.632E+00
 0.03000  0.01900  0.2998      -5.402E+00
 0.03250  0.01973  0.2870      -4.852E+00
 0.03500  0.02043  0.2761      -3.901E+00
 0.03750  0.02111  0.2666      -3.651E+00
 0.04000  0.02177  0.2576      -3.586E+00
 0.04250  0.02240  0.2489      -3.376E+00
 0.04500  0.02301  0.2415      -2.530E+00
 0.04750  0.02361  0.2348      -2.782E+00
 0.05000  0.02419  0.2279      -2.746E+00
 0.05250  0.02475  0.2219      -2.082E+00
 0.05500  0.02530  0.2164      -2.354E+00
 0.05750  0.02583  0.2108      -2.085E+00
 0.06000  0.02635  0.2059      -1.837E+00
 0.06250  0.02686  0.2008      -2.239E+00
 0.06500  0.02736  0.1958      -1.793E+00
 0.06750  0.02784  0.1917      -1.432E+00
 0.07000  0.02831  0.1876      -1.849E+00
 0.07250  0.02878  0.1832      -1.660E+00
 0.07500  0.02923  0.1794      -1.381E+00
 0.07750  0.02967  0.1759      -1.476E+00
 0.08000  0.03011  0.1722      -1.493E+00
 0.08250  0.03054  0.1684      -1.528E+00
 0.08500  0.03095  0.1649      -1.232E+00
 0.08750  0.03136  0.1622      -9.476E-01
 0.09000  0.03176  0.1592      -1.433E+00
 0.09250  0.03216  0.1556      -1.511E+00
 0.09500  0.03254  0.1527      -8.105E-01
 0.09750  0.03292  0.1506      -8.619E-01
 0.10000  0.03329  0.1480      -1.160E+00
 0.11000  0.03472  0.1373      -9.912E-01
 0.12000  0.03605  0.1283      -7.976E-01
 0.13000  0.03729  0.1202      -8.217E-01
 0.14000  0.03845  0.1125      -7.248E-01
 0.15000  0.03954  0.1055      -6.717E-01
 0.16000  0.04056  0.9889E-01  -6.565E-01
 0.17000  0.04152  0.9243E-01  -6.349E-01
 0.18000  0.04241  0.8653E-01  -5.456E-01
 0.19000  0.04325  0.8087E-01  -5.860E-01
 0.20000  0.04403  0.7514E-01  -5.589E-01
 0.21000  0.04476  0.7015E-01  -4.407E-01
 0.22000  0.04543  0.6511E-01  -5.655E-01
 0.23000  0.04606  0.5999E-01  -4.595E-01
 0.24000  0.04664  0.5549E-01  -4.408E-01
 0.25000  0.04717  0.5118E-01  -4.200E-01
 0.26000  0.04766  0.4663E-01  -4.916E-01
 0.27000  0.04810  0.4222E-01  -3.893E-01
 0.28000  0.04850  0.3750E-01  -5.554E-01
 0.29000  0.04885  0.3291E-01  -3.618E-01
 0.30000  0.04916  0.2794E-01  -6.320E-01
 0.31000  0.04941  0.2291E-01  -3.749E-01
 0.32000  0.04962  0.1851E-01  -5.049E-01
 0.33000  0.04978  0.1386E-01  -4.255E-01
 0.34000  0.04990  0.9458E-02  -4.542E-01
 0.35000  0.04997  0.5002E-02  -4.371E-01
 0.36000  0.05000  0.9137E-03  -3.805E-01
 0.37000  0.04999 -0.3421E-02  -4.864E-01
 0.38000  0.04993 -0.7619E-02  -3.533E-01
 0.39000  0.04983 -0.1199E-01  -5.213E-01
 0.40000  0.04969 -0.1635E-01  -3.511E-01
 0.41000  0.04951 -0.2039E-01  -4.555E-01
 0.42000  0.04928 -0.2471E-01  -4.099E-01
 0.43000  0.04901 -0.2857E-01  -3.618E-01
 0.44000  0.04871 -0.3254E-01  -4.310E-01
 0.45000  0.04836 -0.3635E-01  -3.322E-01
 0.46000  0.04798 -0.3980E-01  -3.570E-01
 0.47000  0.04757 -0.4326E-01  -3.342E-01
 0.48000  0.04712 -0.4664E-01  -3.416E-01
 0.49000  0.04664 -0.5021E-01  -3.727E-01
 0.50000  0.04612 -0.5327E-01  -2.408E-01
 0.51000  0.04557 -0.5623E-01  -3.503E-01
 0.52000  0.04499 -0.5937E-01  -2.779E-01
 0.53000  0.04438 -0.6215E-01  -2.777E-01
 0.54000  0.04375 -0.6506E-01  -3.054E-01
 0.55000  0.04308 -0.6795E-01  -2.712E-01
 0.56000  0.04239 -0.7022E-01  -1.839E-01
 0.57000  0.04168 -0.7280E-01  -3.322E-01
 0.58000  0.04094 -0.7543E-01  -1.923E-01
 0.59000  0.04017 -0.7767E-01  -2.557E-01
 0.60000  0.03938 -0.8011E-01  -2.331E-01
 0.61000  0.03857 -0.8212E-01  -1.689E-01
 0.62000  0.03774 -0.8423E-01  -2.526E-01
 0.63000  0.03688 -0.8647E-01  -1.967E-01
 0.64000  0.03601 -0.8834E-01  -1.756E-01
 0.65000  0.03512 -0.9000E-01  -1.580E-01
 0.66000  0.03421 -0.9192E-01  -2.255E-01
 0.67000  0.03328 -0.9346E-01  -8.222E-02
 0.68000  0.03234 -0.9499E-01  -2.234E-01
 0.69000  0.03138 -0.9635E-01  -4.919E-02
 0.70000  0.03041 -0.9762E-01  -2.056E-01
 0.71000  0.02943 -0.9855E-01   2.058E-02
 0.72000  0.02844 -0.9953E-01  -2.173E-01
 0.73000  0.02744 -0.1001       1.028E-01
 0.74000  0.02644 -0.1005      -1.739E-01
 0.75000  0.02543 -0.1008       1.067E-01
 0.76000  0.02443 -0.1007      -8.412E-02
 0.77000  0.02342 -0.1008       5.924E-02
 0.78000  0.02241 -0.1006      -1.492E-02
 0.79000  0.02140 -0.1009      -3.866E-02
 0.80000  0.02039 -0.1009       3.287E-02
 0.81000  0.01939 -0.1008      -6.864E-03
 0.82000  0.01838 -0.1016      -1.653E-01
 0.83000  0.01736 -0.1022       4.426E-02
 0.84000  0.01633 -0.1021      -1.183E-02
 0.85000  0.01531 -0.1021       3.176E-03
 0.86000  0.01429 -0.1021      -8.711E-04
 0.87000  0.01327 -0.1021       2.526E-04
 0.88000  0.01225 -0.1021      -8.136E-05
 0.89000  0.01123 -0.1021       1.670E-05
 0.90000  0.01021 -0.1021       1.649E-05
 0.91000  0.00919 -0.1021      -2.486E-05
 0.92000  0.00817 -0.1021       2.677E-05
 0.93000  0.00715 -0.1021      -2.439E-05
 0.94000  0.00613 -0.1021       1.461E-05
 0.95000  0.00510 -0.1021      -4.173E-06
 0.96000  0.00408 -0.1021       6.627E-07
 0.97000  0.00306 -0.1021       1.015E-07
 0.98000  0.00204 -0.1021      -2.489E-06
 0.99000  0.00102 -0.1021       1.450E-06
 1.00000  0.00000 -0.1021       4.083E-06
-----------------------------------------------------



