NACA6 - A PROGRAM TO COMPUTE NACA 6-SERIES AND 6A-SERIES AIRFOIL SECTIONS

SUMMARY OF INPUT DATA AND DEFAULTS

 &INPUT6 A=0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
 0.000000,0.000000,0.000000,CHD=1.00000,CLI=0.400000,0.000000,0.000000,
 0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
 CMBNMR=1.00000,
 NAME=
 NACA 63A409                                                                     ,
 CAMBER=63A ,PROFILE=63A,TOC=0.900000E-01 &END
-----------------------------------------------------



CAMBER DEFINITION
      Modified 6-series camber line
6-SERIES CAMBER LINE PARAMETERS
  #    CLI    A
  1  0.40000  0.80000
-----------------------------------------------------



ITERATION TO ACHIEVE SPECIFIED THICKNESS
 RAT( 1) =    1.00000
 RAT( 2) =    0.75031
 RAT( 3) =    0.99496


 PEAK IS AT X/C =   0.367185
 MAXIMUM Y/C =   0.044998
 SLOPE CHANGES SIGN AT X/C, Y/C =   0.363073  0.045000
 X/C FIT OF ELLIPSE =   0.005747
 Y/C FIT OF ELLIPSE =   0.007967
 SLOPE FIT OF ELLIPSE =   0.631155
 RADIUS AT ORIGIN OF ELLIPSE THRU XT(11)/C, YT(11)/C =   0.006121
 RATIO OF T/C INPUT TO T/C COMPUTED =   0.999928
 CUMULATIVE SCALING OF EPS, PSI =   0.746527
 NUMBER OF ITERATIONS =          3
-----------------------------------------------------



 DIMENSIONS OF CAMBERED AIRFOIL, CHORD LENGTH=1
 UNCAMBERED ---- UPPER SURFACE VALUES ---    --- LOWER SURFACE VALUES ----
   X/C        XU/C       YU/C     dYU/dXU      XL/C       YL/C     dYL/dXL
 0.00000    0.00000    0.00000   -47.7143    0.00000    0.00000    -3.8781
 0.00025   -0.00007    0.00177   186.2030    0.00057   -0.00161    -1.9579
 0.00050    0.00004    0.00255   -46.9389    0.00096   -0.00225    -1.5106
 0.00075    0.00018    0.00319    18.8323    0.00132   -0.00275    -1.2238
 0.00100    0.00036    0.00367    -1.6511    0.00164   -0.00311    -1.0090
 0.00125    0.00053    0.00412     3.6330    0.00197   -0.00344    -0.9986
 0.00150    0.00071    0.00454     1.8552    0.00229   -0.00374    -0.9031
 0.00175    0.00090    0.00492     1.9874    0.00260   -0.00401    -0.8137
 0.00200    0.00109    0.00527     1.7087    0.00291   -0.00425    -0.7516
 0.00225    0.00129    0.00560     1.6282    0.00321   -0.00447    -0.7104
 0.00250    0.00149    0.00592     1.5272    0.00351   -0.00467    -0.6739
 0.00275    0.00170    0.00622     1.4424    0.00380   -0.00487    -0.6381
 0.00300    0.00190    0.00651     1.3637    0.00410   -0.00505    -0.6046
 0.00325    0.00211    0.00678     1.2953    0.00439   -0.00522    -0.5743
 0.00350    0.00232    0.00705     1.2364    0.00468   -0.00539    -0.5476
 0.00375    0.00253    0.00730     1.1861    0.00497   -0.00554    -0.5244
 0.00400    0.00274    0.00755     1.1411    0.00526   -0.00569    -0.5034
 0.00425    0.00295    0.00779     1.1001    0.00555   -0.00583    -0.4831
 0.00450    0.00317    0.00802     1.0602    0.00583   -0.00597    -0.4658
 0.00475    0.00339    0.00825     1.0321    0.00611   -0.00609    -0.4436
 0.00500    0.00360    0.00847     0.9743    0.00640   -0.00622    -0.4455
 0.00525    0.00383    0.00868     0.9179    0.00667   -0.00634    -0.4475
 0.00550    0.00407    0.00889     0.9003    0.00693   -0.00646    -0.4281
 0.00575    0.00430    0.00910     0.8752    0.00720   -0.00657    -0.4160
